PJMW_MW,Hour,DayOfWeek,Month,Year,DayOfYear,weekofyear,Is_Holiday
5337,10,6,4,2002,97,14,0
5283,11,6,4,2002,97,14,0
5165,12,6,4,2002,97,14,0
5119,13,6,4,2002,97,14,0
5035,14,6,4,2002,97,14,0
4855,15,6,4,2002,97,14,0
4738,16,6,4,2002,97,14,0
4689,17,6,4,2002,97,14,0
4784,18,6,4,2002,97,14,0
4814,19,6,4,2002,97,14,0
5036,20,6,4,2002,97,14,0
5410,21,6,4,2002,97,14,0
5378,22,6,4,2002,97,14,0
5171,23,6,4,2002,97,14,0
4798,0,0,4,2002,98,15,0
4634,1,0,4,2002,98,15,0
4532,2,0,4,2002,98,15,0
4481,3,0,4,2002,98,15,0
4527,4,0,4,2002,98,15,0
4640,5,0,4,2002,98,15,0
4940,6,0,4,2002,98,15,0
5528,7,0,4,2002,98,15,0
5820,8,0,4,2002,98,15,0
5848,9,0,4,2002,98,15,0
5837,10,0,4,2002,98,15,0
5792,11,0,4,2002,98,15,0
5706,12,0,4,2002,98,15,0
5644,13,0,4,2002,98,15,0
5530,14,0,4,2002,98,15,0
5445,15,0,4,2002,98,15,0
5346,16,0,4,2002,98,15,0
5343,17,0,4,2002,98,15,0
5284,18,0,4,2002,98,15,0
5319,19,0,4,2002,98,15,0
5424,20,0,4,2002,98,15,0
5683,21,0,4,2002,98,15,0
5553,22,0,4,2002,98,15,0
5159,23,0,4,2002,98,15,0
4716,0,1,4,2002,99,15,0
4475,1,1,4,2002,99,15,0
4324,2,1,4,2002,99,15,0
4198,3,1,4,2002,99,15,0
4197,4,1,4,2002,99,15,0
4280,5,1,4,2002,99,15,0
4577,6,1,4,2002,99,15,0
5144,7,1,4,2002,99,15,0
5374,8,1,4,2002,99,15,0
5394,9,1,4,2002,99,15,0
5443,10,1,4,2002,99,15,0
5515,11,1,4,2002,99,15,0
5527,12,1,4,2002,99,15,0
5460,13,1,4,2002,99,15,0
5414,14,1,4,2002,99,15,0
5413,15,1,4,2002,99,15,0
5361,16,1,4,2002,99,15,0
5369,17,1,4,2002,99,15,0
5417,18,1,4,2002,99,15,0
5490,19,1,4,2002,99,15,0
5590,20,1,4,2002,99,15,0
5783,21,1,4,2002,99,15,0
5581,22,1,4,2002,99,15,0
5224,23,1,4,2002,99,15,0
4832,0,2,4,2002,100,15,0
4533,1,2,4,2002,100,15,0
4381,2,2,4,2002,100,15,0
4416,3,2,4,2002,100,15,0
4354,4,2,4,2002,100,15,0
4450,5,2,4,2002,100,15,0
4796,6,2,4,2002,100,15,0
5395,7,2,4,2002,100,15,0
5667,8,2,4,2002,100,15,0
5664,9,2,4,2002,100,15,0
5605,10,2,4,2002,100,15,0
5621,11,2,4,2002,100,15,0
5560,12,2,4,2002,100,15,0
5467,13,2,4,2002,100,15,0
5421,14,2,4,2002,100,15,0
5336,15,2,4,2002,100,15,0
5229,16,2,4,2002,100,15,0
5226,17,2,4,2002,100,15,0
5190,18,2,4,2002,100,15,0
5176,19,2,4,2002,100,15,0
5273,20,2,4,2002,100,15,0
5685,21,2,4,2002,100,15,0
5615,22,2,4,2002,100,15,0
5228,23,2,4,2002,100,15,0
4795,0,3,4,2002,101,15,0
4571,1,3,4,2002,101,15,0
4519,2,3,4,2002,101,15,0
4494,3,3,4,2002,101,15,0
4462,4,3,4,2002,101,15,0
4637,5,3,4,2002,101,15,0
5017,6,3,4,2002,101,15,0
5580,7,3,4,2002,101,15,0
5746,8,3,4,2002,101,15,0
5670,9,3,4,2002,101,15,0
5609,10,3,4,2002,101,15,0
5565,11,3,4,2002,101,15,0
5528,12,3,4,2002,101,15,0
5440,13,3,4,2002,101,15,0
5426,14,3,4,2002,101,15,0
5306,15,3,4,2002,101,15,0
5255,16,3,4,2002,101,15,0
5288,17,3,4,2002,101,15,0
5243,18,3,4,2002,101,15,0
5190,19,3,4,2002,101,15,0
5273,20,3,4,2002,101,15,0
5660,21,3,4,2002,101,15,0
5554,22,3,4,2002,101,15,0
5161,23,3,4,2002,101,15,0
4755,0,4,4,2002,102,15,0
4475,1,4,4,2002,102,15,0
4380,2,4,4,2002,102,15,0
4248,3,4,4,2002,102,15,0
4291,4,4,4,2002,102,15,0
4402,5,4,4,2002,102,15,0
4699,6,4,4,2002,102,15,0
5306,7,4,4,2002,102,15,0
5516,8,4,4,2002,102,15,0
5564,9,4,4,2002,102,15,0
5590,10,4,4,2002,102,15,0
5612,11,4,4,2002,102,15,0
5536,12,4,4,2002,102,15,0
5493,13,4,4,2002,102,15,0
5442,14,4,4,2002,102,15,0
5349,15,4,4,2002,102,15,0
5243,16,4,4,2002,102,15,0
5200,17,4,4,2002,102,15,0
5150,18,4,4,2002,102,15,0
5112,19,4,4,2002,102,15,0
5152,20,4,4,2002,102,15,0
5392,21,4,4,2002,102,15,0
5277,22,4,4,2002,102,15,0
